
Población de los municipios de Colombia según proyecciones del DANE para el 20181?
N.°	Municipio	Departamento	Población cabecera	Población resto	Total
1	Bogotá	Flag of Cundinamarca.svg Cundinamarca	8 164 178	16 869	8 181 047
2	Medellín	Flag of Antioquia Department.svg Antioquia	2 501 470	27 933	2 529 403
3	Cali	Flag of Valle del Cauca.svg Valle del Cauca	2 408 653	36 628	2 445 281
4	Barranquilla	Flag of Atlántico.svg Atlántico	1 228 510	4 256	1 232 766
5	Cartagena	Flag of Bolívar (Colombia).svg Bolívar	995 205	41 207	1 036 412
6	Cúcuta	Flag of Norte de Santander.svg Norte de Santander	646 468	22 498	668 966
7	Soledad	Flag of Atlántico.svg Atlántico	665 535	574	666 109
8	Ibagué	Flag of Tolima.svg Tolima	538 486	30 860	569 346
9	Soacha	Flag of Cundinamarca.svg Cundinamarca	538 854	6 143	544 997
10	Bucaramanga	Flag of Santander (Colombia).svg Santander	522 382	6 301	528 683
11	Villavicencio	Flag of Meta.svg Meta	492 709	24 093	516 802
12	Santa Marta	Flag of Magdalena.svg Magdalena	490 978	16 346	507 324
13	Valledupar	Flag of Cesar.svg Cesar	414 265	68 985	483 250
14	Bello	Flag of Antioquia Department.svg Antioquia	476 716	5 539	482 255
15	Pereira	Flag of Risaralda.svg Risaralda	403 787	72 873	476 660
16	Montería	Flag of Córdoba.svg Córdoba	357 746	102 477	460 223
17	Pasto	Flag of Nariño.svg Nariño	381 629	74 234	455 863
18	Buenaventura	Flag of Valle del Cauca.svg Valle del Cauca	390 061	33 866	423 927
19	Manizales	Flag of Caldas.svg Caldas	372 593	27 561	400 154
20	Neiva	Flag of Huila.svg Huila	327 929	19 572	347 501
21	Palmira	Flag of Valle del Cauca.svg Valle del Cauca	249 096	61 512	310 608
22	Armenia	Flag of Quindío.svg Quindío	293 181	8 045	301 226
23	Riohacha	Flag of La Guajira.svg La Guajira	244 836	42 173	287 009
24	Sincelejo	Flag of Sucre (Colombia).svg Sucre	269 267	17 449	286 716
25	Popayán	Flag of Cauca.svg Cauca	254 966	29 983	284 949
26	Itagüí	Flag of Antioquia Department.svg Antioquia	253 865	23 071	276 936
27	Floridablanca	Flag of Santander (Colombia).svg Santander	257 922	9 248	267 170
28	Envigado	Flag of Antioquia Department.svg Antioquia	230 635	7 538	238 173
29	Tuluá	Flag of Valle del Cauca.svg Valle del Cauca	189 359	29 779	219 138
30	Tumaco	Flag of Nariño.svg Nariño	120 569	92 123	212 692
31	Dosquebradas	Flag of Risaralda.svg Risaralda	196 352	8 385	204 737
Municipios con más de 100 000 habitantes
Población de los municipios de Colombia según proyecciones del DANE para el 20181?
N.°	Municipio	Departamento	Población cabecera	Población resto	Población Total
32	Tunja	Flag of Boyacá Department.svg Boyacá	191 323	7 814	199 137
33	Girón	Flag of Santander (Colombia).svg Santander	175 704	19 722	195 426
34	Apartadó	Flag of Antioquia Department.svg Antioquia	169 319	25 749	195 068
35	Uribia	Flag of La Guajira.svg La Guajira	13 789	178 932	192 721
36	Barrancabermeja	Flag of Santander (Colombia).svg Santander	173 303	18 192	191 495
37	Florencia	Flag of Caquetá.svg Caquetá	160 103	21 411	181 514
38	Turbo	Flag of Antioquia Department.svg Antioquia	69 010	103 304	172 314
39	Maicao	Flag of La Guajira.svg La Guajira	112 809	51 615	164 424
40	Piedecuesta	Flag of Santander (Colombia).svg Santander	131 389	28 340	159 729
41	Yopal	Flag of Casanare.svg Casanare	134 066	15 357	149 423
42	Ipiales	Flag of Nariño.svg Nariño	109 080	39 217	148 297
43	Fusagasugá	Flag of Cundinamarca.svg Cundinamarca	114 822	27 604	142 426
44	Facatativá	Flag of Cundinamarca.svg Cundinamarca	126 239	13 125	139 364
45	Chía	Flag of Cundinamarca.svg Cundinamarca	106 697	29 055	135 752
46	Cartago	Flag of Valle del Cauca.svg Valle del Cauca	132 423	1 886	134 309
47	Pitalito	Flag of Huila.svg Huila	78 847	54 330	133 177
48	Zipaquirá	Flag of Cundinamarca.svg Cundinamarca	112 897	15 529	128 426
49	Malambo	Flag of Atlántico.svg Atlántico	119 950	7 271	127 221
50	Jamundí	Flag of Valle del Cauca.svg Valle del Cauca	86 780	40 413	127 193
51	Rionegro	Flag of Antioquia Department.svg Antioquia	82 971	43 222	126 193
52	Yumbo	Flag of Valle del Cauca.svg Valle del Cauca	110 310	15 314	125 624
53	Magangué	Flag of Bolívar (Colombia).svg Bolívar	86 406	37 549	123 955
54	Lorica	Flag of Córdoba.svg Córdoba	57 067	63 491	120 558
55	Caucasia	Flag of Antioquia Department.svg Antioquia	100 058	20 421	120 479
56	Manaure	Flag of La Guajira.svg La Guajira	50 467	65 781	116 248
